hex_id;latitud;longitud
898e62c03abffff;-12.054194;-77.07018
898e62c0317ffff;-12.052225;-77.07301
898e62c0313ffff;-12.050256;-77.07584
898e62c031bffff;-12.05169;-77.079
898e62c034fffff;-12.0579605;-77.08565
898e62c0e9bffff;-12.057234;-77.055374
898e62c0e0fffff;-12.070847;-77.056694
898e62c0edbffff;-12.058133;-77.06452
898e62c1dabffff;-12.078017;-77.07249
898e62c1d33ffff;-12.08142;-77.072815
898e62c1dafffff;-12.079986;-77.06966
898e62c1da7ffff;-12.078552;-77.0665
898e62c0e6bffff;-12.077118;-77.06334
898e62c1db7ffff;-12.075149;-77.06617
898e62c089bffff;-12.071016;-77.03557
898e62c0c67ffff;-12.067613;-77.03524
898e62c0c77ffff;-12.06421;-77.03491
898e62c0c0fffff;-12.060807;-77.034584
898e62c0c6fffff;-12.069047;-77.0384
898e62c08d7ffff;-12.072451;-77.03873
898e62c08c7ffff;-12.075853;-77.039055
898e62c081bffff;-12.079256;-77.03938
898e62c0857ffff;-12.08069;-77.04254
